,Source,Unit,Bedroom,Bathroom,Gross Price,Net price,Sqft,Floor,Image source,Address,Borough,City,State,Building Name,Neighborhood,Status,Amenity,Description,Availability,Floor_plan,Date_present,Created At,Updated At,Closing Date
10,https://www.compass.com/listing/75-coles-street-unit-4-jersey-city-nj-07302/1009396930861823153/,4,2,2,3150,,847,,,"75 Coles St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,75 Coles St,The Village,Rental,Air Conditioning; Garage; Parking Included; Washer / Dryer in Unit; ,"Introducing 75 Coles Street – a four unit boutique condo building that underwent a full renovation. Each unit consists of two bedrooms and two bathrooms. Throughout the condos you will find hardwood floors, central air, in-unit laundry, ample windows, and tasteful finishes. The kitchen is open to the living room and features quartz countertops, stainless steel appliances, gorgeous modern cabinetry, and a tile backsplash. Ideally located in downtown Jersey City near the Grove St PATH Station with so many local attractions: Hamilton Park, Van Vorst Park, Newport Mall, in addition to all of Jersey City’s popular restaurants and shops.",04/01/2022,75 Coles St_4,1,25-03-2022,25-03-2022,
11,https://www.compass.com/listing/1234-bloomfield-street-unit-g-hoboken-nj-07030/1008368818324907153/,G,0,1,1900,,600,,,"1234 Bloomfield St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,1234 Bloomfield St,North East Hoboken,Rental,Air Conditioning; Washer / Dryer in Unit; ,"Set in a classic uptown Bloomfield Street brownstone, this prestigious neighborhood offers beauty and convenience. Granite kitchen comes complete with dishwasher, outside venting hood, gas range, full size fridge, Italian Tile backsplash, under-mount counter lighting, and custom oak dinette seating. Artistic elements throughout include wrought iron details and wainscoting. Also enjoy high quality insulation and soundproofing. Custom dimmer lighting system created by professional lighting designer. Full length designer drapes as per photos included if desired. Apartment includes a European washer dryer, load your laundry in the morning and it is washed and dried by the time you get home. This neighborhood holds one of the oldest running block parties and is highly decorated during the Halloween and Christmas seasons. It is also close to the 12th Street Ferry servicing 38th and Downtown destinations, the 126 Bus into NYC Port Authority, parking (fee), Trader Joe’s, Starbucks, 24 Hour CVS, Kings Supermarket, Sparrow’s Wine, Little City Books bookstore, BWE coffee cafe, Mile Square Theatre, and the only movie theater in town. Heat & Hot Water included. Credit check, employment verification, and references required. Owner lives in building and reserves the right to meet applicant before executing a lease. Owners lease and rider only. No pets, no smoking, single occupancy only.",05/01/2022,1234 Bloomfield St_G,1,25-03-2022,25-03-2022,
12,https://www.compass.com/listing/262-ege-avenue-unit-2-jersey-city-nj-07304/1003778826404598873/,2,3,2,2950,,1400,,,"262 Ege Ave, Jersey City, NJ 07304",Jersey City,Jersey City,NJ,262 Ege Ave,Hackensack River Waterfront,Rental,Air Conditioning; ,"Your search for a luxury rental stops here!  Be the first to live in this brand-new 3 bedroom, 2 bath apartment spanning 1,400 square feet on Jersey City’s rapidly developing West Side.  No expense was spared here — enjoy the open-concept kitchen, dining, and living area, with a quartz waterfall island featuring additional storage and a built-in microwave, cathedral ceilings with two skylights and oversized Andersen windows for maximum natural light.  The primary suite features a spacious bedroom, bathroom, walk-in closet and a private balcony.  High-end appliances include a stainless steel dishwasher, range/oven with vented hood, along with a Samsung washer/dryer combo in the unit.  Home chefs will enjoy abundant counter and cabinet space, farmhouse sink, and a roomy French-door refrigerator.  The new-construction unit is conveniently located a few doors down from a local espresso bar and just three short blocks to the west side light rail for an easy commute to Downtown Jersey City and New York City.  But with all that square footage, natural light, and amenities, you may not want to go into the office at all.    Don’t delay, at this price point, a unit of this size and quality will not last!  No pets, sorry.",,262 Ege Ave_2,0,25-03-2022,25-03-2022,
13,https://www.compass.com/listing/133-jackson-street-unit-2b-hoboken-nj-07030/1007324587605610361/,2B,2,2,3600,,1100,2,,"133 Jackson St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,133 Jackson St,Southwest Hoboken,Rental,Air Conditioning; Elevator; Garage; Parking Included; Washer / Dryer in Unit; ,"Naturally GORGEOUS AND BRIGHT 2-bed/2-bath corner home, nestled in a fantastic modern ELEVATOR building with GARAGE PARKING The living room features dual exposures with large windows and custom top-down/bottom-up shades, and is connected to a renovated kitchen with stone countertops, breakfast bar, many cabinets, and a full suite of stainless-steel appliances. The large master bedroom with master bath includes His/Hers customized closets. The ample 2nd bedroom also boasts GREAT CUSTOM CLOSETS and additional lofted storage. Solid hardwood floors and CENTRAL AIR/HEAT throughout, ceiling fans, and full-sized front-loading WASHER & DRYER units complete this great unit. Exclusive GARAGE PARKING SPACE is included within the building. Located a short walk to Hoboken PATH, NJ Transit buses, and the Hudson Light Rail. Available for APRIL or MAY. Flexible terms available.",,133 Jackson St_2B,0,25-03-2022,25-03-2022,
14,https://www.compass.com/listing/453-liberty-avenue-unit-1-jersey-city-nj-07307/1006027702786493225/,1,3,3,3200,,1500,,,"453 Liberty Ave, Jersey City, NJ 07307",Jersey City,Jersey City,NJ,453 Liberty Ave,West Slope,Rental,Air Conditioning; Garage; Parking Included; Private Outdoor Space; ,"Be the first to live in this brand new renovation spanning the first level and lower level of a 1964 built detached two family home in the Western Slope of Jersey City Heights. This apartment can easily house 6-8 occupants. On the main level: Huge living and dining room with new laminate floors and recessed lighting, 2 bedrooms with deep closets, spacious and modern tiled bathroom with a sliding glass door. The new eat-in-kitchen features stainless appliances, including dishwasher and granite counters, and looks out to gorgeous sunsets.  Downstairs there are two semi-private apartments, with additional living spaces, the third large bedroom with a western view window, and two more full size bathrooms (total 3). In addition to the front entrance, there is a side entrance that leads to a driveway. One car parking is included in the rent.  Available April 1. 12 month minimum lease, credit check with minimum 700 credit score for primary renter, all adults must perform credit and background checks. Proof of employment needed for application; combined household income of $90K+ needed. No room mates, no smokers, no pets. 1.5x (refundable) security deposit and 1 month broker fee paid by tenant. Tenant pays gas/electric, landlord pays water/sewer.",,453 Liberty Ave_1,0,25-03-2022,25-03-2022,
15,https://www.compass.com/listing/39-romaine-avenue-unit-2-jersey-city-nj-07306/1003555731794719865/,2,2,1,2000,,800,,,"39 Romaine Ave, Jersey City, NJ 07306",Jersey City,Jersey City,NJ,39 Romaine Ave,McGinley Square,Rental,Air Conditioning; Washer / Dryer in Unit; ,"Welcome to this incredibly renovated 2 bed/1 Bath apartment on an amazing tree-lined street in Journal Square. The apartment features 800 SF of living space, tons of natural sunlight, and hardwood floors throughout. The floor plan is configured with a large front living room with an adjacent fully updated kitchen on one end. The kitchen features stainless-steel appliances, granite countertops, subway tile backsplash, a gas range, and ample cabinet space. As you make your way to the backside of the unit, you have a dining area in the center and in-unit laundry. The backside of the apartment offers two full bedrooms with great natural sunlight. This is wonderful opportunity to live in a clean, fully-renovated apartment and can be used as a 1 BED + Office or a 2 Bedroom. Do not miss the opportunity to see this awesome apartment!",05/01/2022,39 Romaine Ave_2,1,25-03-2022,25-03-2022,
16,https://www.compass.com/listing/526-hudson-street-hoboken-nj-07030/997706397472171857/,,5,6.5,15000,,4500,,,"526 Hudson St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,526 Hudson St,Southeast Hoboken,Rental,Air Conditioning; Garage; Parking Included; Private Outdoor Space; Washer / Dryer in Unit; ,"Rare 5-story brownstone with additional 1 car garaged parking space located on Hobokens most prestigious block. This outstanding home has been meticulously renovated and completed in 2016 with a full 4-story extension. This home offers well-thought out living spaces spread through-out 5 levels and over 5000 sqft of space including 5 bedrooms, 2 dens, 6.5 bathrooms and custom designed patio. The parlor level open floorplan features a formal living room, spacious dining area, custom kitchen and family room that leads directly to modern styled patio through 8 foot sliding glass doors. This beautiful open space is light and airy with soaring ceilings, custom millwork, exposed brick, recessed lights, and 7” white oak floors. . The spectacular custom chef’s kitchen includes custom Porcelanosa cabinets, Thermador appliances, marble backsplash and porcelain floors. The Thermador appliances include 48” gas range with griddle, triple convection oven, 36” fridge, 18” wine column, 18” freezer column, espresso machine and dishwasher. Modern powder room complete this versatile parlor level. The second floor contains two spacious bedroom and two full bathroom plus laundry. The quiet west facing rear bedroom with ensuite bath has double vanities and can be used as a second master bedroom. Front east facing bedroom has attached full bath also accessible from common hallway. The third floor master suite offers a spacious bedroom, an impressive 300sq ft custom walk-in closet and an extraordinary custom master bath with 6ft soaking tub, a glass enclosed rain shower and body sprays, complete with double sinks. Top floor features two additional sun-light bedrooms, two additional bathrooms and a second set of washer and dryers. Full Finished basement: Additional playroom and den perfect for an office, guest or ‘man cave’ with full bath. Control 4 system which integrates the control of multiple zones of audio, HVAC, lighting, security alarm and security cameras. 2 zone HVAC York system with built-in humidifier, central vacuum system and Marvin windows throughout. Whole house generator. Garage entrance on charming cobblestone Court St.",,526 Hudson St_,0,25-03-2022,25-03-2022,
17,https://www.compass.com/listing/443-2nd-street-unit-311-jersey-city-nj-07302/998591932626504073/,311,2,2,3750,,1160,3,,"443 2nd St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,443 2nd St,The Village,Rental,Air Conditioning; Elevator; Garage; Parking Included; Private Outdoor Space; Washer / Dryer in Unit; ,"Welcome to Crescent Court - Luxury Living at its finest in the Village Section of JC Downtown! Featuring granite counters, a breakfast bar,  The Master suite is roomy enough to fit a king size bed, has great closet space, a master bathroom with double vanities, and a separate shower and soaking tub. Washer/dryer in the unit, central air, and one garage parking space complete the picture! Surrounded by great restaurants and cafes, boutique shops, local art studios, and nearby Village Park on 1st Street. JC Village living is vibrant, fun, and convenient! Moments away from the PATH train that takes you into New York City!",,443 2nd St_311,0,25-03-2022,25-03-2022,
18,https://www.compass.com/listing/9-coles-street-unit-11-jersey-city-nj-07302/1001386870977332433/,11,2,2,3750,,1323,,,"9 Coles St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,9 Coles St,The Village,Rental,Air Conditioning; Washer / Dryer in Unit; ,"Welcome to the historic Bath House building, located just 3 blocks from the Grove St. PATH station. This spacious 2 bedroom(2nd floor bedroom is a large open loft space)/2 full bathroom loft condo spans 2 floors, has 18' ceilings and 1,323 sq ft of living space. The 4 skylights bring in tons of natural light onto the open floorplan and updated kitchen, which is great for entertaining. There are hardwood floors throughout and walk in closet in 2nd floor bedroom. Washer/dryer in unit and locked storage on site. The surrounding area is filled with coffee shops, restaurants and farmer's markets. 1st floor: LR. DR, Kitchen Bedroom, Full Bathroom 2nd floor: Open Loft Bedroom, Full Bathroom, Washer/Dryer Tenant Requirements: Rental application/report, 1.5 month security deposit and 1 month broker's fee paid by tenant. Renters Insurance required. 1 pet is considered by landlord on a case by case basis and $50/per month pet fee. Apartment is currently tenant occupied. 24 hrs notice required for showings. Available move in date; 4/15/22.",04/15/2022,9 Coles St_11,1,25-03-2022,25-03-2022,
19,https://www.compass.com/listing/442-new-york-avenue-unit-1-jersey-city-nj-07307/996171037491457017/,1,3,2,2750,,,,,"442 New York Ave, Jersey City, NJ 07307",Jersey City,Jersey City,NJ,442 New York Ave,The Heights,Rental,Air Conditioning; Private Outdoor Space; Washer / Dryer in Unit; ,"3 Bedroom, 2 full Baths, Jersey City Heights. Great layout, updated 1st floor home with 2 new bathrooms, large private outdoor deck, laundry. Near Congress Street Light Rail and across from Washington Park (tennis courts, running track) Multiple express commuter options to NYC, bus #119, bus #123. Hoboken PATH, Journal Square, DTJC, Exchange place in minutes. Near plenty of cafes, markets and Hoboken Trader Joe's, ShopRite. Sorry no pets, no smoking, full credit check, 700 credit score, tenant responsible for all utilities, tenant pays 1 month broker fee.",,442 New York Ave_1,0,25-03-2022,25-03-2022,
20,https://www.compass.com/listing/99-franklin-street-unit-2-jersey-city-nj-07307/997962508785070145/,2,3,1,2100,,,,,"99 Franklin St, Jersey City, NJ 07307",Jersey City,Jersey City,NJ,99 Franklin St,The Heights,Rental,Air Conditioning; ,"Live in the popular east side of the Jersey City Heights with hot spots close by like: Froth on Franklin and Mod Cup, Bread and Salt and Choc o Pan, and Low Fidelity. Great for NYC commuter with Bus and Light rail close by, plus Farmers Markets at Riverview Fisk Park. Beautifully renovated apartment with a large living room, hardwood floors, and renovated bathroom. The kitchen features two tone white and gray shaker cabinetry, white quarts countertops, and stainless steel appliances. Very nice décor, good closet space, great location, this is a great apartment!",,99 Franklin St_2,0,25-03-2022,25-03-2022,
21,https://www.compass.com/listing/163-christopher-columbus-drive-unit-c-jersey-city-nj-07302/998833793458849113/,C,2,1.5,3500,,,,,"163 Christopher Columbus Dr, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,163 Christopher Columbus Dr,Van Vorst Park,Rental,Air Conditioning; Private Outdoor Space; ,"Fall in love with this dreamy cottage for rent in downtown Jersey City, 1.5 blocks to Grove Street PATH. This 2 bedroom/1.5 bath duplex features an open kitchen with dishwasher and a serene private garden. Steps to Grove Street, yet tucked away from the hustle and bustle of downtown. Very special! Tenant pays utilities, pets OK on approval. Available April 1.",,163 Christopher Columbus Dr_C,0,25-03-2022,25-03-2022,
22,https://www.compass.com/listing/163-christopher-columbus-drive-unit-3-jersey-city-nj-07302/997387013675463281/,3,3,2,3500,,,,,"163 Christopher Columbus Dr, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,163 Christopher Columbus Dr,Van Vorst Park,Rental,Air Conditioning; ,"Huge top floor 3 bedroom, 2 bath in Downtown Jersey City, close to the Grove Street PATH. Spacious living room and dining room with space for a home office. Three large bedrooms, one with private bath and shower. Located in the heart of downtown Jersey City, by Van Vorst Park, Newark Ave shops and restaurants, and Grove Street.",,163 Christopher Columbus Dr_3,0,25-03-2022,25-03-2022,
23,https://www.compass.com/listing/45-park-lane-south-unit-905-jersey-city-nj-07310/1000066922066339009/,905,2,2,5000,,1287,9,,"45 Park Ln, Jersey City, NJ 07310",Jersey City,Jersey City,NJ,45 Park Ln,Newport,Rental,Air Conditioning; Garage; ,"45 Park Lane South large split 2 bedroom, 2 bath apartment located on the Hudson River Waterfront in Downtown Jersey City. The apartment has open views of the Manhattan Skyline and the Hudson River. Open modern kitchen with stainless still appliances. Spacious master bedroom with on-suite master bathroom including a tub and separate shower. Great storage space with an enormous walk-in closet plus three additional closets. Washer/dryer in the unit. Full-service luxury building with a 24-hour doorman/concierge, fitness center, rooftop terrace, Penthouse lounge, screening room and children’s playroom.  Located in the Newport area of Jersey City Waterfront. Light rail, ferry & PATH trains at our door.",04/15/2022,45 Park Ln_905,1,25-03-2022,25-03-2022,
24,https://www.compass.com/listing/290-monmouth-street-unit-c-jersey-city-nj-07302/984755681812441833/,C,2,1.5,3800,,,,,"290 Monmouth St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,290 Monmouth St,Van Vorst Park,Rental,Air Conditioning; ,"Fully updated and ideally located 2BR/1.5BA duplex condo w/ private entrance and PRIVATE ROOF DECK! The main floor features a beautiful kitchen w/ quartz countertops and stainless steel appliances, large living room w/ ample windows and a powder room.  Upstairs you'll find two bedrooms, a fully renovated bathroom and access to your own very large private rooftop! Located just two blocks from Van Vorst Park and just a short distance to Grove St PATH station.",03/01/2022,290 Monmouth St_C,1,25-03-2022,25-03-2022,
25,https://www.compass.com/listing/357-4th-street-unit-1-jersey-city-nj-07302/982032602785301049/,1,1,1,2850,,,,,"357 4th St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,357 4th St,The Village,Rental,Air Conditioning; Washer / Dryer in Unit; ,"NO FEE!!!  357 4th St. is pleased to welcome you. Located in Jersey City's Historic Downtown district. This one-bedroom, one-bathroom condo was totally gutted and refurbished with the finest of finishing touches. The open layout, modern finishes, and exposed ductwork set the tone for the degree of care you deserve as soon as you walk in. With its utility and aesthetic appeal, the custom kitchen makes no compromises. You can get a breath of fresh air in the mornings thanks to a private terrace off the master bedroom or the front stoop. This unit also features a washer/dryer, wine fridge, central air, 2 outdoor spaces, and is cat friendly with additional fee. Be the first to live in this immaculate unit.  Don't put it off any longer; schedule a private showing today.",,357 4th St_1,0,25-03-2022,25-03-2022,
26,https://www.compass.com/listing/69-clifton-place-unit-3-jersey-city-nj-07304/974031168883152961/,3,2,1,2300,,1500,,,"69 Clifton Pl, Jersey City, NJ 07304",Jersey City,Jersey City,NJ,69 Clifton Pl,Bergen-Lafayette,Rental,Air Conditioning; Private Outdoor Space; Washer / Dryer in Unit; ,"Gorgeous East-facing condo-quality apartment with open floor plan approx. 1500SqFt large with partial New York City Views! A beautiful property for the discerning resident, and with a shared back yard too! This 2 Bedroom, 1 bathroom home features an expansive living area great for entertaining, dining area, modern kitchen with granite countertops and custom cabinets, great bedrooms with closets, and in-unit Washer and Dryer. Throughout you'll find Central AC/heat, incredible hardwood floors, exposed brick, high ceilings, large windows, crown molding, and ceiling fans. Located on a high, quiet street overlooking Jersey City, with easy commute to NYC, short walk to PATH station and NJ Transit buses, nearby Citibike station, an 88 Walkscore! Flexible lease terms. View and apply now for your next home.",,69 Clifton Pl_3,0,25-03-2022,25-03-2022,
27,https://www.compass.com/listing/461-4th-street-unit-2e-hoboken-nj-07030/1006044968538135961/,2E,2,1,2400,,600,2,,"461 4th St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,461 4th St,Southwest Hoboken,Rental,Air Conditioning; Laundry in Building; ,"Cute & cozy 2BR corner unit only 1 flight up. Hardwood floors throughout. Equally sized bedrooms. Modern bath with glass shower doors. Dishwasher in kitchen. High ceilings w/ crown molding. Storage bin & laundry room located on street level. Located near Church Square Park, restaurants, shopping & nightlife. Steps away from buses to NYC, a short walk to the PATH or just take the HOP shuttle right outside your door! Pets possible with landlord approval and w/ small fee.",05/01/2022,461 4th St_2E,1,25-03-2022,25-03-2022,
28,https://www.compass.com/listing/55-jordan-avenue-unit-1601-jersey-city-nj-07306/1009533748721739137/,1601,2,2,3250,,,16,,"55 Jordan Ave, Jersey City, NJ 07306",Jersey City,Jersey City,NJ,55 Jordan Ave,McGinley Square,Rental,Air Conditioning; Doorman; Dryer; Elevator; Full-Time Doorman; Garage; Gym; Laundry; Laundry in Building; Private Outdoor Space; Washer; Washer / Dryer in Unit; ,"This stunning corner 2 bedroom, 1.5 bathroom apartment with SOUTH & WEST views has amazing sun during the day & an incredible sunset in the evening. The beautifully designed kitchen features tons of storage, all new stainless-steel appliances and open shelving. Only a few more of these gorgeous corner apartments are available! --- Amenities include a secure attended lobby with a full-time doorman, spacious rooftop terrace with BBQ stations, a dog run & plenty of chairs, tables & lounge chairs. The second-floor lounge includes a pool table, sofa with large flat screen TV, a record player with plenty of records to choose from & a foosball table. Our 2 fully equipped fitness centers have everything you need from cardio machines to strength training & even a yoga room. Last but certainly not least is our business center/co-working space with conference rooms for privacy & a large table with charging stations to spread out and get all your work done. We also have a large laundry room with lots of washers & dryers for tenants. In unit W/D is an available upgrade for all apartments. Wi-Fi is provided in ALL the amenity spaces. --- Easy access to Manhattan and elsewhere is nearby at the Journal Square Transportation Center, with PATH train service into both Lower and Midtown Manhattan. The Transportation Center’s bus station provides bus service into New York City and many New Jersey locations, including Newark Liberty International Airport. --- One month free on a 13 month lease for all available apartments.",,55 Jordan Ave_1601,0,25-03-2022,25-03-2022,
